#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231012   20:51:51      0     59     37      -     74     31      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     18 
 20231012   20:51:51      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:53      0     60     38      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     62     18 
 20231012   20:51:53      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:54      0     59     39      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     17 
 20231012   20:51:54      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:55      0     59     39      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     15 
 20231012   20:51:55      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:56      0     60     40      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     57     17 
 20231012   20:51:56      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:57      0     61     41      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     17 
 20231012   20:51:57      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:58      0     60     41      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     17 
 20231012   20:51:58      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:59      0     59     42      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     58     17 
 20231012   20:51:59      1     10     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:00      0     62     42      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     61     17 
 20231012   20:52:00      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:02      0     59     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     17 
 20231012   20:52:02      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:03      0     60     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     56     17 
 20231012   20:52:03      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:04      0     60     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     15 
 20231012   20:52:04      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:05      0     62     44      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     16 
 20231012   20:52:05      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:06      0     61     44      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     57     17 
 20231012   20:52:06      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:07      0     61     45      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     16 
 20231012   20:52:07      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:08      0     61     45      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     14 
 20231012   20:52:08      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:09      0     61     46      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     17 
 20231012   20:52:09      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:11      0     61     46      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     17 
 20231012   20:52:11      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231012   20:52:12      0     60     46      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     66     14 
 20231012   20:52:12      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:13      0     60     47      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     56     16 
 20231012   20:52:13      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:14      0     61     47      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     55     16 
 20231012   20:52:14      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:15      0     61     47      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     16 
 20231012   20:52:15      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:16      0     61     48      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     63     16 
 20231012   20:52:16      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:17      0     60     48      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     64     13 
 20231012   20:52:17      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:19      0     61     49      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     53     15 
 20231012   20:52:19      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:20      0     60     49      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     58     16 
 20231012   20:52:20      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:21      0     61     49      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     58     16 
 20231012   20:52:21      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:22      0     61     49      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     57     16 
 20231012   20:52:22      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:23      0     61     50      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     53     16 
 20231012   20:52:23      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:24      0     62     50      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     62     14 
 20231012   20:52:24      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:25      0     60     50      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     16 
 20231012   20:52:25      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:26      0     61     51      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     63     15 
 20231012   20:52:26      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:28      0     62     51      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     63     13 
 20231012   20:52:28      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:29      0     61     51      -     77     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     63     15 
 20231012   20:52:29      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:30      0     59     52      -     76     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     62     16 
 20231012   20:52:30      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:31      0     62     52      -     77     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     58     16 
 20231012   20:52:31      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:32      0     61     52      -     77     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     53     16 
 20231012   20:52:32      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:33      0     61     52      -     77     28      0      0      0      0   5000   1590      0      0    129      5      0      0      0     63     15 
 20231012   20:52:33      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:34      0     34     51      -      0      0      0      0      0      0   5000   1590      0      0      6      2      0      0      0      0      0 
