#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231012   20:55:40      0     61     48      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     14 
 20231012   20:55:40      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:41      0     61     49      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     56     16 
 20231012   20:55:41      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:42      0     60     49      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     17 
 20231012   20:55:42      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:44      0     61     49      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     17 
 20231012   20:55:44      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:45      0     60     50      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     63     17 
 20231012   20:55:45      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:46      0     61     50      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     57     16 
 20231012   20:55:46      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:47      0     62     50      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     14 
 20231012   20:55:47      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:48      0     61     51      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     54     15 
